Comment,Designator,Footprint,Quantity

"0R075/1%","R1","RES SMD CH 1206 HR","1"
"1K/1%","R6, R13, R15, R16, R27, R28, R30, R39, R42, R45","RES SMD CH 0603 HR","10"
"1uF/50V","C2, C3","CAP SMD CE 0603 HR","2"
"4,7uF/6,3V","C16, C17, C20, C21","CAP SMD CE 0603 HR","4"
"10K/1%","R3, R4, R5, R7, R8, R9, R10, R14, R17, R18, R19, R20, R21, R22, R23, R24, R29, R31, R32, R33, R34, R35, R36, R40, R41, R43, R44","RES SMD CH 0603 HR","27"
"10nF/50V","C8, C9","CAP SMD CE 0603 HR","2"
"100K/1%","R26, R38","RES SMD CH 0603 HR","2"
"100nF/50V","C1, C12, C13, C14, C15, C18, C19","CAP SMD CE 0603 HR","7"
"100R/1%","R25, R37","RES SMD CH 0603 HR","2"
"100uF/6,3V","C4, C5, C6, C7","CAP SMD EL D.6,30 H.5,40 P.4,80 HR","4"
"1000uF/35V","C10","CAP PTH EL D.13,00 H.20,00 P.5,00 RD MW","1"
"BC807-25","T3, T7","GEN SMD SOT23-3 TO-236AA MR","2"
"BC817-25","T2, T4, T6, T8","GEN SMD SOT23-3 TO-236AA MR","4"
"PTC 100mA","PTC3","PTC SMD CH 0805 HR","1"
