Comment,Designator,Footprint,Quantity

"0R075/1%","R59","RES SMD CH 1206 HR","1"
"1K/1%","R3, R12, R21, R31, R44, R45, R46, R54, R55, R56, R65, R68","RES SMD CH 0603 HR","12"
"1SMA4741A","DZ2","DIO SMD SMA DO214AC MR","1"
"1uF/50V","C28, C29","CAP SMD CE 0603 HR","2"
"10K/1%","R4, R10, R18, R22, R27, R35, R40, R50, R61, R62, R63, R66, R67, R69, R73","RES SMD CH 0603 HR","15"
"10nF/50V","C3, C13, C34, C35","CAP SMD CE 0603 HR","4"
"10R/5%","R70, R72","RES SMD CH 0603 HR","2"
"22K/5%","R64","RES SMD CH 1206 HR","1"
"47uF/16V","C26","CAP SMD EL D.5,00 H.5,40 P.4,00mm MR","1"
"56K/5%","R60","RES SMD CH 1206 MR","1"
"100K/1%","R47, R48, R57, R58","RES SMD CH 0603 HR","4"
"100nF/50V","C1, C2, C12, C14, C23, C24, C25, C27, C36, C40, C41, C42, C43","CAP SMD CE 0603 HR","13"
"100R/1%","R42, R52","RES SMD CH 0603 HR","2"
"100uF/6,3V","C30, C31, C32, C33","CAP SMD EL D.6,30 H.5,40 P.4,80 HR","4"
"BC807-25","T10, T18","GEN SMD SOT23-3 TO-236AA MR","2"
"BC817-25","T1, T2, T3, T4, T8, T12, T16, T20, T21","GEN SMD SOT23-3 TO-236AA MR","9"
"BSC070N10NS3","T6, T14, T22","GEN SMD PG-TDSON-8 MR","3"
"BZT52C36","DZ1","DIO SMD SOD123 MR","1"
"M7 DO-214AC","D7","DIO SMD SMA DO214AC MR","1"
"NUP2105LT1G","D9","GEN SMD SOT23-3 TO-236AA MR","1"
"PTC 100mA","PTC1, PTC2","PTC SMD CH 0805 HR","2"
"SS18 DO-214AC","D8","DIO SMD SMA DO214AC HR","1"
"SS810G SMC","D4, D6","DIO SMD SMC DO214AB HR","2"
"XL7046E1","CI5","GEN SMD SOIC8 TP P.1,27 MR","1"
